year,germany,foreign
1366,0,130
1367,0,190
1368,0,115
1369,0,178
1370,0,115
1371,0,84
1372,0,179
1373,0,177
1374,0,181
1375,0,185
1376,0,206
1377,0,173
1378,0,196
1379,0,239
1380,0,125
1381,0,244
1382,0,268
1383,0,198
1384,0,150
1385,0,182
1386,181,108
1387,398,116
1388,245,100
1389,739,140
1390,530,72
1391,169,78
1392,278,76
1393,303,142
1394,331,158
1395,265,142
1396,408,147
1397,326,182
1398,296,174
1399,393,205
1400,482,107
1401,602,126
1402,385,152
1403,404,187
1404,449,117
1405,477,126
1406,511,134
